genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
BackhedF_2015__SID51_4M__bin.13	10068	No	BackhedF_2015	SID51_4M	4738413	33635	241	98.92	0.71	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID51_4M__bin.13.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID51_4M__bin.13.txt
BackhedF_2015__SID51_B__bin.3	10068	No	BackhedF_2015	SID51_B	2605613	301528	16	56.19	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID51_B__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID51_B__bin.3.txt
BackhedF_2015__SID521_12M__bin.17	10068	No	BackhedF_2015	SID521_12M	3294932	225386	28	71.99	0.17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID521_12M__bin.17.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID521_12M__bin.17.txt
BackhedF_2015__SID521_4M__bin.10	10068	No	BackhedF_2015	SID521_4M	4419446	11242	533	95.65	2.43	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID521_4M__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID521_4M__bin.10.txt
BackhedF_2015__SID521_B__bin.1	10068	No	BackhedF_2015	SID521_B	4646137	283419	28	99.97	0.17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID521_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID521_B__bin.1.txt
BackhedF_2015__SID521_M__bin.58	10068	No	BackhedF_2015	SID521_M	4328037	47315	158	97.31	0.41	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID521_M__bin.58.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID521_M__bin.58.txt
BackhedF_2015__SID526_12M__bin.36	10068	No	BackhedF_2015	SID526_12M	4741273	55187	122	98.99	0.24	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID526_12M__bin.36.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID526_12M__bin.36.txt
BackhedF_2015__SID526_4M__bin.3	10120	No	BackhedF_2015	SID526_4M	5853405	42370	218	98.13	0.67	Klebsiella michiganensis	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Klebsiella sp	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10120/BackhedF_2015__SID526_4M__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10120.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10120/BackhedF_2015__SID526_4M__bin.3.txt
BackhedF_2015__SID526_M__bin.28	10068	No	BackhedF_2015	SID526_M	4685823	106685	73	98.78	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID526_M__bin.28.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID526_M__bin.28.txt
BackhedF_2015__SID527_4M__bin.2	10068	No	BackhedF_2015	SID527_4M	4615480	47933	151	99.27	0.24	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID527_4M__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID527_4M__bin.2.txt
BackhedF_2015__SID527_B__bin.1	10068	No	BackhedF_2015	SID527_B	4859779	56068	151	99.27	0.09	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID527_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID527_B__bin.1.txt
BackhedF_2015__SID527_M__bin.17	10068	No	BackhedF_2015	SID527_M	3471877	4513	869	80.79	1.69	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID527_M__bin.17.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID527_M__bin.17.txt
BackhedF_2015__SID532_4M__bin.27	10130	No	BackhedF_2015	SID532_4M	4177776	16207	381	59.48	1.72	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10130/BackhedF_2015__SID532_4M__bin.27.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10130.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10130/BackhedF_2015__SID532_4M__bin.27.txt
BackhedF_2015__SID532_4M__bin.6	10084	No	BackhedF_2015	SID532_4M	4825255	136704	58	99.05	4.65	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10084/BackhedF_2015__SID532_4M__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10084.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10084/BackhedF_2015__SID532_4M__bin.6.txt
BackhedF_2015__SID532_B__bin.4	10130	No	BackhedF_2015	SID532_B	4829553	132447	56	98.84	0.13	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10130/BackhedF_2015__SID532_B__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10130.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10130/BackhedF_2015__SID532_B__bin.4.txt
BackhedF_2015__SID532_M__bin.27	10068	No	BackhedF_2015	SID532_M	4656263	111566	87	99.97	0.43	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID532_M__bin.27.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID532_M__bin.27.txt
BackhedF_2015__SID536_4M__bin.18	10068	No	BackhedF_2015	SID536_4M	2849193	141958	26	50.00	0.00	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID536_4M__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID536_4M__bin.18.txt
BackhedF_2015__SID53_12M__bin.24	10068	No	BackhedF_2015	SID53_12M	4384863	119916	79	87.79	0.63	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID53_12M__bin.24.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID53_12M__bin.24.txt
BackhedF_2015__SID53_4M__bin.19	10068	No	BackhedF_2015	SID53_4M	4819477	133415	63	99.15	0.12	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID53_4M__bin.19.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID53_4M__bin.19.txt
BackhedF_2015__SID53_M__bin.18	10068	No	BackhedF_2015	SID53_M	4708550	33776	224	98.83	0.70	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID53_M__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID53_M__bin.18.txt
BackhedF_2015__SID544_M__bin.53	10068	No	BackhedF_2015	SID544_M	4188607	13591	449	94.01	1.86	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID544_M__bin.53.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID544_M__bin.53.txt
BackhedF_2015__SID546_12M__bin.14	10068	No	BackhedF_2015	SID546_12M	2836393	3666	840	62.91	2.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID546_12M__bin.14.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID546_12M__bin.14.txt
BackhedF_2015__SID546_4M__bin.2	10068	No	BackhedF_2015	SID546_4M	4734802	165009	55	99.65	0.16	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID546_4M__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID546_4M__bin.2.txt
BackhedF_2015__SID546_B__bin.2	10068	No	BackhedF_2015	SID546_B	4849688	214226	45	99.97	0.09	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID546_B__bin.2.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID546_B__bin.2.txt
BackhedF_2015__SID546_M__bin.9	10068	No	BackhedF_2015	SID546_M	4789516	41448	171	99.61	0.23	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID546_M__bin.9.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID546_M__bin.9.txt
BackhedF_2015__SID549_12M__bin.10	10141	No	BackhedF_2015	SID549_12M	4588533	28803	272	98.55	0.89	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Enterobacter asburiae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10141/BackhedF_2015__SID549_12M__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10141.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10141/BackhedF_2015__SID549_12M__bin.10.txt
BackhedF_2015__SID549_4M__bin.7	10068	No	BackhedF_2015	SID549_4M	4524499	201024	32	99.37	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID549_4M__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID549_4M__bin.7.txt
BackhedF_2015__SID549_B__bin.1	10068	No	BackhedF_2015	SID549_B	4457275	217089	37	97.59	0.13	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID549_B__bin.1.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID549_B__bin.1.txt
BackhedF_2015__SID560_4M__bin.6	10068	No	BackhedF_2015	SID560_4M	4501094	392272	27	99.57	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID560_4M__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID560_4M__bin.6.txt
BackhedF_2015__SID565_12M__bin.20	10068	No	BackhedF_2015	SID565_12M	3211034	4218	854	73.82	1.20	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID565_12M__bin.20.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID565_12M__bin.20.txt
BackhedF_2015__SID565_B__bin.3	10068	No	BackhedF_2015	SID565_B	4859844	130676	65	99.37	0.09	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID565_B__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID565_B__bin.3.txt
BackhedF_2015__SID566_4M__bin.4	10068	No	BackhedF_2015	SID566_4M	4794467	146163	54	99.35	0.04	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID566_4M__bin.4.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID566_4M__bin.4.txt
BackhedF_2015__SID566_M__bin.22	10068	No	BackhedF_2015	SID566_M	4744118	61545	111	99.04	0.41	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID566_M__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID566_M__bin.22.txt
BackhedF_2015__SID567_12M__bin.6	10068	No	BackhedF_2015	SID567_12M	4104340	7296	708	92.31	2.23	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID567_12M__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID567_12M__bin.6.txt
BackhedF_2015__SID567_4M__bin.12	10068	No	BackhedF_2015	SID567_4M	4768088	174150	48	99.29	0.11	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID567_4M__bin.12.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID567_4M__bin.12.txt
BackhedF_2015__SID567_M__bin.25	10068	No	BackhedF_2015	SID567_M	4545218	28731	257	98.66	0.85	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID567_M__bin.25.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID567_M__bin.25.txt
BackhedF_2015__SID570_4M__bin.8	10068	No	BackhedF_2015	SID570_4M	3943559	5380	876	86.21	2.51	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID570_4M__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID570_4M__bin.8.txt
BackhedF_2015__SID572_4M__bin.15	10068	No	BackhedF_2015	SID572_4M	4914144	130725	68	99.97	0.39	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID572_4M__bin.15.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID572_4M__bin.15.txt
BackhedF_2015__SID572_M__bin.34	10068	No	BackhedF_2015	SID572_M	4715973	66435	118	99.54	0.40	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID572_M__bin.34.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID572_M__bin.34.txt
BackhedF_2015__SID577_12M__bin.30	10068	No	BackhedF_2015	SID577_12M	4663361	29285	261	98.97	0.67	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	0.01	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/10068/BackhedF_2015__SID577_12M__bin.30.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/10068.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/10068/BackhedF_2015__SID577_12M__bin.30.txt
